date,region,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,East,Search,1200,54000,860,45,9800
2025-01-02,West,Social,760,42000,520,28,6400
2025-01-03,North,Display,540,38000,430,19,5100
2025-01-04,South,Email,310,19000,210,16,3600
2025-01-05,Central,Affiliate,680,26000,390,22,5900
2025-01-06,East,Search,1320,56000,910,48,10400
2025-01-07,West,Social,810,44000,560,30,6700
2025-01-08,North,Display,600,40000,470,21,5400
2025-01-09,South,Email,330,21000,230,18,3900
2025-01-10,Central,Affiliate,700,27000,410,24,6200
2025-01-11,East,Search,1250,55000,880,46,10050
2025-01-12,West,Social,790,43000,540,29,6550
2025-01-13,North,Display,580,39500,455,20,5250
2025-01-14,South,Email,320,20500,220,17,3750
2025-01-15,Central,Affiliate,690,26500,400,23,6050
2025-01-16,East,Search,1280,55800,895,47,10180
2025-01-17,West,Social,830,45000,575,31,6900
2025-01-18,North,Display,610,41000,480,22,5500
2025-01-19,South,Email,340,21500,235,18,4000
2025-01-20,Central,Affiliate,720,27500,420,25,6400
2025-01-21,East,Search,1350,56500,920,49,10600
2025-01-22,West,Social,800,43500,550,30,6650
2025-01-23,North,Display,590,40200,465,21,5350
2025-01-24,South,Email,335,20800,225,17,3850
2025-01-25,Central,Affiliate,705,27200,415,24,6280
2025-01-26,East,Search,1295,55200,885,46,10220
2025-01-27,West,Social,820,44500,565,30,6800
2025-01-28,North,Display,605,40500,475,21,5450
2025-01-29,South,Email,345,21800,240,19,4100
2025-01-30,Central,Affiliate,715,27800,425,26,6500
